epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,897949.726999,1.0,751.52161263,886527.988415,3767451674.67,52214.0092773,3767445924.0
1,895456.382959,1.0,727.580749627,883907.951801,155425521664.0,356998.052083,155425510741.0
2,1414922.44315,1.0,884.639328465,1404875.88749,57863095082.7,193489.727214,57863089408.0
3,1643534.55268,1.0,1004.1581459,1634050.45992,662954595669.0,812773.4375,662954595669.0
4,1816406.49973,1.0,1071.44793453,1806808.09883,2.78937444898e+12,1488409.88542,2.78937444898e+12
5,1364773.45925,1.0,956.820465203,1355192.82009,1.62784344747e+12,1005809.52083,1.62784344474e+12
6,1021463.04143,1.0,782.741062973,1011880.57487,8.11274726277e+13,6928596.5,8.11274726277e+13
7,627178.431848,0.1,654.33865842,626404.834957,57191.7148438,238.996846517,57191.7148438
8,551262.452653,0.1,611.178647359,551262.452653,11444.9257812,106.642878215,11444.9257812
9,558260.080485,0.1,597.8949022,558162.638561,68136745642.7,256983.307292,68136745642.7
10,376376.686388,0.1,486.708011396,376287.710788,383971626.667,19517.7356771,383971562.667
11,394906.492985,0.1,516.302318429,394811.829474,383722192896.0,616579.75,383722192896.0
12,422366.20173,0.1,515.883174434,422270.043457,8621678378.67,78309.2005208,8621678378.67
13,337536.470314,0.1,472.584261808,337440.726815,7.45478903125e+12,2728075.08333,7.45478903125e+12
14,412669.930033,0.1,506.634379185,412574.113093,21599030762.7,100918.455729,21599030720.0
15,401956.022058,0.01,512.636117877,401948.29262,25443.7825521,159.284525553,25443.7825521
16,242428.373862,0.01,364.989498861,242428.373862,3791.71940104,60.987681071,3791.71940104
17,268316.265017,0.01,426.354118665,268315.296731,3049859.16667,1745.13334147,3049857.66667
18,223140.64101,0.01,384.890027595,223139.758564,117722789.333,10849.9980469,117722789.333
19,271812.744889,0.01,436.850835049,271811.804349,6584593.83333,2564.97355143,6584592.83333
20,243373.844455,0.01,405.481603016,243372.895387,1069428522.67,32702.0735677,1069428522.67
21,295872.087927,0.01,440.424289761,295871.13969,5786941.83333,2393.88867188,5786940.83333
22,362237.68322,0.01,473.017362421,362236.746538,3166408533.33,56270.0716146,3166408533.33
23,205674.669212,0.001,367.800591931,205674.593284,356.760965983,16.8682759603,356.760965983
24,254472.573678,0.001,412.320695183,254472.573678,426.087219238,18.8112996419,426.087219238
25,171304.632073,0.001,340.285933466,171304.624221,2913.44934082,53.3020909627,2913.43363444
26,209221.242413,0.001,387.646166137,209221.23716,266.312733968,13.9313405355,266.305688222
27,291503.370395,0.001,434.723645066,291503.366369,193.340748797,11.4471931458,193.330816964
28,319090.819543,0.001,487.288247426,319090.816421,86.9442168375,6.83152389526,86.9346799056
29,279418.220422,0.001,445.166832664,279418.21565,119.692110062,10.0753142039,119.682546616
30,345190.081384,0.001,440.011127848,345190.075718,88.9957644145,9.1438852946,88.9861895243
31,303787.390825,0.001,478.768365802,303787.387074,277.846164544,14.3365179698,277.836575031
32,242240.872396,0.001,388.573185718,242240.866914,95.2918917338,9.38002586365,95.2823270162
33,294547.304606,0.001,441.469038877,294547.300559,131.962580999,10.3563296,131.953016599
34,288400.863967,0.001,416.362957781,288400.859713,104.372670492,9.66923205058,104.363105774
35,180074.993155,0.0001,356.476327607,180074.993036,98.8561172485,9.49804560343,98.8561172485
36,312310.561035,0.0001,461.558115063,312310.561035,91.7225430806,9.24975013733,91.7225430806
37,363327.826059,0.0001,487.673843153,363327.826041,89.6422271729,9.169008255,89.641805013
38,297955.670273,0.0001,446.962960561,297955.670273,89.1257069906,9.14823659261,89.125638326
39,314983.843646,0.0001,475.824874878,314983.843646,86.1008618673,9.01957511902,86.1007677714
40,360610.366146,0.0001,491.840674776,360610.366141,89.8617846171,9.1777566274,89.8616905212
41,299576.733772,0.0001,444.71653606,299576.733769,95.4072138468,9.38280105591,95.4071210225
42,282863.228349,0.0001,441.149471803,282863.228344,99.2555236816,9.51089350382,99.2554308573
43,359842.52525,0.0001,494.129125422,359842.52525,101.083451589,9.56852976481,101.083358765
44,344627.177081,0.0001,491.037799171,344627.177078,101.14881897,9.57055664062,101.148726145
45,446113.721731,0.0001,526.247060082,446113.72173,96.4525044759,9.41858355204,96.4524116516
46,282057.226813,0.0001,418.776916735,282057.226806,93.0619354248,9.29945882161,93.0618413289
47,204777.351642,0.0001,368.485322837,204777.351637,94.6882578532,9.35771942139,94.6881650289
48,263342.340347,0.0001,426.492589546,263342.340345,93.3916269938,9.31144841512,93.3915328979
49,296746.723291,0.0001,407.121034218,296746.72328,94.3878186544,9.34711964925,94.3877258301
