epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,174.830575683,0.01,10.7827373129,171.552535957,19.3661196232,3.5,18.2828128934
1,80.1480735396,0.01,7.72580097661,78.7985817045,41.2580821514,5.25822067261,39.8988841772
2,71.0973409812,0.01,7.20448702032,69.6587040226,52.9058179855,6.26192951202,51.4617686272
3,63.9009065592,0.01,6.7164182374,62.4618087404,54.3681559563,6.37808227539,52.9299054146
4,67.0397917141,0.01,7.06065018972,65.6027610591,36.4554182291,4.7716460228,35.0186410546
5,77.5155123219,0.01,7.12537170179,76.0782336867,34.9484068155,4.61097478867,33.5110253096
6,61.2462508281,0.01,6.66890704993,59.8090051064,77.2623500824,7.97338104248,75.8251562119
7,82.8579708045,0.001,7.52144148855,82.7419623309,64.4740066528,7.22661781311,64.4740066528
8,79.3083400541,0.001,7.41375671734,79.3083400541,55.4017891884,6.56900215149,55.4017891884
9,67.9758765371,0.001,6.86151331121,67.9612971169,50.5440862179,6.1863079071,50.5204060078
10,69.3074520917,0.001,7.00109929749,69.2940980178,45.2688524723,5.74528121948,45.2582576275
11,70.7988621159,0.001,7.34652779319,70.7846733296,42.4431935549,5.49347543716,42.4282687902
12,71.2348956067,0.0001,7.10734959805,71.2336916813,42.3121255636,5.48289394379,42.3121255636
13,78.0058608958,0.0001,7.54595857678,78.0058608958,42.0313844681,5.45723247528,42.0313844681
14,65.3233416062,0.0001,7.07104125167,65.323207102,41.8692939281,5.44231700897,41.8688149452
15,69.3169276642,0.0001,7.14651844718,69.3167848596,41.6744440794,5.42442035675,41.6743363142
16,63.4532945165,0.0001,6.80177552772,63.4531579203,41.5199409723,5.41015720367,41.5198000669
17,77.0057319529,0.0001,7.36217654835,77.0055901462,41.3393366337,5.39344024658,41.3391964436
18,60.047889057,0.0001,6.5496337486,60.0477471008,41.2873299122,5.38861656189,41.2871899605
19,78.6610937623,0.0001,7.64300716285,78.6609518665,41.1745643616,5.37814331055,41.1744242907
20,72.0516239369,0.0001,7.50110441266,72.0514819207,41.0598204136,5.36746501923,41.0596803427
21,70.9410831578,0.0001,7.33733662692,70.9409404609,40.8077310324,5.34393024445,40.8075909615
22,69.5296918913,0.0001,7.07525707014,69.5295504745,40.7739938498,5.34077262878,40.7738537788
23,70.3993534753,0.0001,7.24444975997,70.3992111827,40.5752819777,5.32213687897,40.5751419067
24,72.1351713105,0.0001,7.30968851032,72.1350291335,40.4222362041,5.30773925781,40.4220961332
25,67.2585303688,0.0001,7.11235133084,67.2583882448,40.3302764893,5.2990694046,40.3301364183
26,74.1648530052,0.0001,7.29119034969,74.1647118852,40.2426838875,5.29079818726,40.2425438166
27,72.6189918012,0.0001,7.04912691405,72.6188503769,39.9311690331,5.26127624512,39.9310289621
