epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,306.99289161,14.8025028445,306.99289161,169476.947266,359.721244812,169476.947266
1,299.186794158,14.5614297837,299.186794158,8352.58544922,86.668384552,8352.58544922
2,291.657987222,14.3167396411,291.657987222,7058.83422852,79.0135345459,7058.83422852
3,282.059844525,13.9515153803,282.059844525,1886.19702148,42.9470252991,1886.19702148
4,273.11138069,13.6666069925,273.11138069,2536.06481934,49.1174583435,2536.06481934
5,263.724861169,13.3463510871,263.724861169,2808.20709229,50.9595108032,2808.20709229
6,254.639884426,13.0851135105,254.639884426,3261.48809814,55.9575138092,3261.48809814
7,246.741436812,12.7934824526,246.741436812,3620.32312012,57.7794380188,3620.32312012
8,236.002846956,12.5928460509,236.002846956,21282.1884766,123.239490509,21282.1884766
9,222.509901652,12.0979827046,222.509901652,7692.90612793,84.8623027802,7692.90612793
10,212.954070715,11.8327203989,212.954070715,15804.1799316,121.006961823,15804.1799316
11,200.093708143,11.5092284232,200.093708143,15901.1630859,126.046127319,15901.1630859
12,189.34992899,11.2634405792,189.34992899,37145.4394531,191.977455139,37145.4394531
13,175.030341968,10.813372314,175.030341968,78410.3789063,278.184082031,78410.3789063
14,169.015003953,10.4288048446,169.015003953,77515.1074219,273.351676941,77515.1074219
15,159.823368421,10.2045812607,159.823368421,224077.601563,473.220169067,224077.601563
16,156.131837879,9.98008969426,156.131837879,636401.25,791.565979004,636401.25
17,144.279008927,9.59716013074,144.279008927,794219.75,890.879516602,794219.75
18,142.912935257,9.59488168359,142.912935257,1354797.625,1150.29101563,1354797.625
19,125.912572933,8.86011388898,125.912572933,4116871.625,2026.08520508,4116871.625
20,124.624145254,8.88205420971,124.624145254,6594929.75,2567.79882813,6594929.75
21,118.311517373,8.66983014345,118.311517373,22135094.5,4580.64880371,22135094.5
22,113.916146301,8.53004485369,113.916146301,18846914.5,4250.00476074,18846914.5
23,103.176283978,8.11119222641,103.176283978,51980728.0,7203.61523438,51980728.0
24,104.628201101,7.7912722826,104.628201101,98032304.0,9901.08789063,98032304.0
25,103.742585468,7.93392807245,103.742585468,232773696.0,15129.1425781,232773696.0
26,100.391239021,8.00185990334,100.391239021,320090336.0,17887.2470703,320090336.0
27,98.8575875647,7.81387168169,98.8575875647,605265728.0,24542.2939453,605265728.0
28,97.0807726032,7.96585887671,97.0807726032,1131233504.0,33446.0859375,1131233504.0
29,95.1146897536,7.89739477634,95.1146897536,1633534816.0,39038.8945313,1633534816.0
30,96.7436794116,7.78614467382,96.7436794116,2985937152.0,53735.8300781,2985937152.0
31,98.9181907661,7.92086434364,98.9181907661,6658259712.0,81488.3867188,6658259712.0
32,87.7481812909,7.47022098303,87.7481812909,8968652032.0,92455.4335938,8968652032.0
33,97.5955091566,7.93733513355,97.5955091566,18837170176.0,136352.40625,18837170176.0
