epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,306.119942542,14.7817059755,306.119942542,646.396911621,25.4183750153,646.396911621
1,296.97143783,14.495623529,296.97143783,603.571228027,24.5618858337,603.571228027
2,289.754181312,14.221699357,289.754181312,579.731811523,24.0724544525,579.731811523
3,280.840474112,13.9030035138,280.840474112,544.348968506,23.3259391785,544.348968506
4,270.18040201,13.5714617297,270.18040201,503.038955688,22.4229640961,503.038955688
5,262.487732214,13.3337588832,262.487732214,465.066375732,21.5596008301,465.066375732
6,250.781517924,12.9572897479,250.781517924,401.875946045,20.0406093597,401.875946045
7,241.421917969,12.6556915343,241.421917969,371.315826416,19.2630691528,371.315826416
8,232.346828715,12.4075500816,232.346828715,319.509262085,17.8678274155,319.509262085
9,220.728904959,12.0757676661,220.728904959,269.799781799,16.4179706573,269.799781799
10,206.478227563,11.6403921098,206.478227563,207.722564697,14.4039082527,207.722564697
11,197.220402792,11.4491500556,197.220402792,169.828659058,13.0222373009,169.828659058
12,186.264192015,11.0640305877,186.264192015,124.141777039,11.1306686401,124.141777039
13,177.436787613,10.7222712338,177.436787613,78.3021621704,8.83471393585,78.3021621704
14,170.157340363,10.54176718,170.157340363,68.3594360352,8.25284481049,68.3594360352
15,157.811423035,10.0782755911,157.811423035,13.2993984222,3.61239624023,13.2993984222
16,150.419019048,9.8116452992,150.419019048,0.340616287664,0.499997138977,0.340616287664
17,145.923009172,9.64986184239,145.923009172,8.99789094925,2.95768451691,8.99789094925
18,137.705206638,9.42354890704,137.705206638,1.61938036978,1.17020606995,1.61938036978
19,128.220030088,8.91736322641,128.220030088,60.8812141418,7.78660583496,60.8812141418
20,127.392338015,9.00185081363,127.392338015,57.3583068848,7.55700492859,57.3583068848
21,120.030741792,8.72764879465,120.030741792,291.105514526,17.0544872284,291.105514526
22,112.856083177,8.48896354437,112.856083177,166.207450867,12.8824481964,166.207450867
23,108.119380174,8.3633441329,108.119380174,689.659210205,26.256603241,689.659210205
24,110.576257691,8.37995553017,110.576257691,1593.2489624,39.9123916626,1593.2489624
25,113.197204213,8.2462298274,113.197204213,2523.95825195,50.2365226746,2523.95825195
26,98.608208878,7.69152706861,98.608208878,5726.16967773,75.6698074341,5726.16967773
27,104.119754529,8.05404227972,104.119754529,5604.56323242,74.8619613647,5604.56323242
28,96.0648010783,7.69617974758,96.0648010783,3849.73950195,62.044254303,3849.73950195
29,105.661895268,8.28369581699,105.661895268,3748.12780762,61.2199134827,3748.12780762
30,95.5186025457,7.55824148655,95.5186025457,5096.32788086,71.3868179321,5096.32788086
31,92.8808692386,7.68695306778,92.8808692386,6338.05761719,79.6103477478,6338.05761719
32,90.4008369531,7.58972275257,90.4008369531,9463.15527344,97.2774658203,9463.15527344
33,92.2283038528,7.72478693724,92.2283038528,8399.18554688,91.6457061768,8399.18554688
34,92.30888284,7.76235473156,92.30888284,9683.02148438,98.4010734558,9683.02148438
35,88.7790992185,7.56214261055,88.7790992185,5641.03613281,75.1051673889,5641.03613281
36,99.0492256517,8.23991018534,99.0492256517,140.673240662,11.8500232697,140.673240662
37,83.6825329062,7.45312303305,83.6825329062,2369.12255859,48.6710548401,2369.12255859
38,86.8187411251,7.52767813206,86.8187411251,2.70518833399,1.56697463989,2.70518833399
39,83.1756064715,7.16725069284,83.1756064715,1550.84454346,39.3775978088,1550.84454346
40,89.9430149198,8.21229249239,89.9430149198,12618.6958008,112.331855774,12618.6958008
41,88.9099753972,7.74598252773,88.9099753972,6.68767523766,2.53720664978,6.68767523766
42,94.4188567521,7.78784477711,94.4188567521,788.510498047,28.0759906769,788.510498047
43,87.8076234087,7.78247374296,87.8076234087,7523.02490234,86.7339401245,7523.02490234
44,88.2384948283,7.80389213562,88.2384948283,36.8326387405,6.04837703705,36.8326387405
45,81.9295291854,7.36107230186,81.9295291854,2.31093734503,1.43579101563,2.31093734503
46,88.4222763199,7.85456448793,88.4222763199,10680.9736328,103.347583771,10680.9736328
