epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,304.816067919,14.7515399531,304.816067919,1671.75654602,37.6836576462,1671.75654602
1,297.059720566,14.4756866321,297.059720566,3371.93902588,50.683423996,3371.93902588
2,290.112938007,14.2464736663,290.112938007,2625.10693359,45.5167160034,2625.10693359
3,280.805359719,13.9043720774,280.805359719,3309.33091736,50.2788524628,3309.33091736
4,270.776627957,13.582724236,270.776627957,2799.8710022,46.9443016052,2799.8710022
5,258.955037147,13.2115081623,258.955037147,3842.54330444,53.7327785492,3842.54330444
6,249.098040993,12.9033230841,249.098040993,14289.3326874,94.4926290512,14289.3326874
7,241.827240703,12.6589979827,241.827240703,17905.4565582,102.097416401,17905.4565582
8,229.187354176,12.3687563241,229.187354176,39934.5828577,142.210842133,39934.5828577
9,221.111618247,12.1607895344,221.111618247,67856.8562927,196.11034584,67856.8562927
10,208.423556014,11.6758604944,208.423556014,128941.50708,278.37260437,128941.50708
11,201.204843298,11.456394881,201.204843298,197576.287109,356.706321716,197576.287109
12,192.018676266,11.2378017306,192.018676266,303823.626953,458.888504028,303823.626953
13,180.891070694,10.9018326402,180.891070694,580442.167969,643.241226196,580442.167969
14,166.780785859,10.4883975685,166.780785859,1240298.07813,953.314346313,1240298.07813
15,163.117140289,10.3114855886,163.117140289,2296881.28125,1313.08499146,2296881.28125
16,149.49214538,9.8453656435,149.49214538,4548724.53125,1885.58551025,4548724.53125
17,146.685217235,9.71292436123,146.685217235,8887155.4375,2653.48968506,8887155.4375
18,136.853541408,9.55652874708,136.853541408,17513536.75,3787.52288818,17513536.75
19,125.797971338,9.0260373354,125.797971338,39685687.5,5656.68481445,39685687.5
20,126.823266919,8.89764237404,126.823266919,84388926.0,8224.79736328,84388926.0
21,121.465708401,8.85071066022,121.465708401,179585890.0,11883.8330078,179585890.0
22,118.564618085,8.43773043156,118.564618085,354250974.0,16596.7321777,354250974.0
23,115.937947706,8.43002480268,115.937947706,680035608.0,23239.984375,680035608.0
24,105.665575447,8.05870062113,105.665575447,1318550560.0,32140.1665039,1318550560.0
25,103.871344503,7.99495995045,103.871344503,2435857824.0,44037.9570313,2435857824.0
26,100.340717906,7.81912326813,100.340717906,4581244896.0,60768.8271484,4581244896.0
27,91.7289025211,7.64706110954,91.7289025211,8917511552.0,84927.2265625,8917511552.0
28,93.9621368212,7.69762778282,93.9621368212,16858347392.0,117239.421875,16858347392.0
29,97.3177299494,7.78910034895,97.3177299494,30554840832.0,158069.949219,30554840832.0
30,94.2581600701,7.66961783171,94.2581600701,56683665408.0,214606.617188,56683665408.0
