epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,205.652753162,0.01,11.8537436977,203.469248454,164.029199441,10.9590072632,163.304211458
1,74.1039934646,0.01,7.26244865764,73.2044025288,115.915774028,9.95816866557,115.009162267
2,75.5797145294,0.01,7.3410949707,74.6208056261,95.8327687581,9.36410077413,94.870010376
3,65.8043334592,0.01,6.75301274386,64.8449410489,84.2539304097,8.88697560628,83.2950922648
4,73.1458059116,0.01,7.06587083412,72.1878161376,92.3490473429,9.2371934255,91.3912353516
5,71.4928794955,0.01,6.8506974307,70.5347222731,91.7818361918,9.21541595459,90.8235867818
6,76.0946055073,0.01,7.0399647626,75.1364410321,103.011363983,9.59837913513,102.053206126
7,77.8430339351,0.01,7.38583963568,76.8848479219,110.436518987,9.81249364217,109.478335063
8,64.8146284674,0.01,6.59610482418,63.8564364644,109.301882426,9.78138415019,108.343688965
9,65.1571186149,0.01,6.57304859161,64.1989211407,96.3446795146,9.38217735291,95.3864822388
10,74.6199538184,0.001,7.00480602727,74.5426141547,95.2859179179,9.37860043844,95.2859179179
11,81.6315471151,0.001,7.58401992104,81.6315471151,97.3349482218,9.4481976827,97.3349482218
12,69.5878124705,0.001,6.77267794176,69.5781083265,98.9236221313,9.49970881144,98.9076398214
13,65.0230978491,0.001,6.87316703796,65.01419256,98.1155586243,9.4737294515,98.1084925334
14,59.5498517412,0.001,6.12581279061,59.5403973707,98.8672370911,9.49808375041,98.8572972616
15,63.9611891436,0.0001,6.54474532965,63.9603878725,98.6743596395,9.49216588338,98.6743596395
16,71.7543372716,0.0001,7.1211568659,71.7543372716,98.6846262614,9.49249839783,98.6846262614
17,68.6547391121,0.0001,6.84561521357,68.65465819,98.949286143,9.50103759766,98.9488436381
18,73.1787735851,0.0001,6.97568520633,73.1786708893,99.044825236,9.50412686666,99.0447527568
19,69.9477524403,0.0001,6.9322828235,69.9476627943,99.0712649028,9.50497690837,99.0711720785
20,60.8133079992,0.0001,6.31842838634,60.8132145902,98.9276224772,9.50035031637,98.9275296529
21,71.1973925052,0.0001,6.9325578285,71.1972991743,98.9232241313,9.50020853678,98.923131307
22,60.6082248121,0.0001,6.44626449816,60.6081314263,98.9965044657,9.50257047017,98.9964116414
23,71.8530219902,0.0001,7.19217372663,71.8529284798,99.0209643046,9.50335820516,99.0208714803
24,70.784353424,0.0001,6.92835203807,70.7842598998,99.0761095683,9.50513267517,99.076016744
25,63.3219572218,0.0001,6.47782759233,63.3218636393,99.1641108195,9.50796063741,99.1640179952
26,74.1224001192,0.0001,7.1336033272,74.1223064736,99.0890401204,9.50554847717,99.0889472961
27,64.6613069203,0.0001,6.48756333553,64.6612130548,99.1243069967,9.50668207804,99.1242141724
28,60.67302809,0.0001,6.39517552925,60.6729342203,99.1464678446,9.50739415487,99.1463750203
29,74.988123446,0.0001,6.88573455811,74.9880297859,99.1615931193,9.50787989299,99.161500295
30,69.4816499479,0.0001,6.7909263842,69.4815564914,99.2407709757,9.51042048136,99.2406781514
31,62.198877811,0.0001,6.49593104738,62.1987844611,99.2544352214,9.51085853577,99.2543423971
32,63.0045985954,0.0001,6.86383345633,63.0045052951,99.2150421143,9.50959523519,99.21494929
33,65.4033392541,0.0001,6.81556805697,65.4032458103,99.2726631165,9.51144282023,99.2725702922
34,68.8331669314,0.0001,7.01623104558,68.8330732333,99.4065920512,9.51572926839,99.4064992269
35,76.3079069239,0.0001,7.64210807916,76.3078134999,99.6366589864,9.52306811015,99.6365661621
36,68.3969435653,0.0001,7.01962366971,68.3968500479,99.6606737773,9.52383232117,99.660580953
37,77.7045411538,0.0001,7.03833978826,77.7044477352,99.6858545939,9.52463340759,99.6857617696
38,70.1190594945,0.0001,7.01831820517,70.1189661974,99.6773427327,9.52436256409,99.6772499084
39,71.4038976366,0.0001,7.09756313671,71.4038041138,99.7426973979,9.52644030253,99.7426045736
40,72.1170148642,0.0001,6.92846624779,72.1169212704,99.6785036723,9.52439943949,99.678410848
41,65.9830538486,0.0001,6.80958415523,65.9829602738,99.4689801534,9.51772244771,99.4688873291
42,65.9036751691,0.0001,6.64714362405,65.9035816097,99.5568453471,9.52052561442,99.5567525228
43,68.3196342181,0.0001,7.20527894569,68.3195408023,99.5507443746,9.52033106486,99.5506515503
44,60.713868545,0.0001,6.33820695588,60.7137748848,99.5082041423,9.5189743042,99.508111318
45,66.525301321,0.0001,6.7166855263,66.5252077182,99.3493804932,9.51389948527,99.3492876689
46,59.9051995124,0.0001,6.70301989353,59.9051059679,99.3207232157,9.51298205058,99.3206303914
47,68.916965914,0.0001,6.9041965947,68.9168724743,99.1601282756,9.50783284505,99.1600354513
48,69.6645075281,0.0001,7.04278058717,69.6644142997,99.2185694377,9.50970840454,99.2184766134
49,77.0331943405,0.0001,7.32610994397,77.0331007892,99.2484079997,9.51066525777,99.2483151754
