epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,319.500527855,15.0735689044,319.500527855,13499.4506836,110.869239807,13499.4506836
1,312.518168509,14.8422227303,312.518168509,7446.6105957,81.9143466949,7446.6105957
2,304.732309799,14.5667473038,304.732309799,11288.2915039,105.680076599,11288.2915039
3,297.166314052,14.3264627695,297.166314052,1473.74478149,32.1034293175,1473.74478149
4,289.171704064,14.0421378454,289.171704064,7348.12202454,69.6889190674,7348.12202454
5,278.508909887,13.7595386028,278.508909887,3252.92202759,50.5767631531,3252.92202759
6,268.991582499,13.3957571665,268.991582499,35355.3720703,157.365524292,35355.3720703
7,260.146186392,13.1322966099,260.146186392,38207.1748047,180.46521759,38207.1748047
8,249.261467022,12.8932089488,249.261467022,1466.73474121,37.4423809052,1466.73474121
9,240.77828398,12.6334956646,240.77828398,220408.400927,335.420282364,220408.400927
10,229.460483692,12.338961331,229.460483692,117291.628906,342.337097168,117291.628906
11,221.08097831,12.111829106,221.08097831,421876.105469,571.870895386,421876.105469
12,207.36170121,11.7067821344,207.36170121,512836.416016,587.080711365,512836.416016
13,202.732675123,11.5928195953,202.732675123,1998558.25,1369.45458984,1998558.25
14,190.244595067,11.2360839208,190.244595067,239123.178345,375.255315781,239123.178345
15,178.517378183,10.7589737574,178.517378183,5196013.1875,2126.74078369,5196013.1875
16,176.328047029,10.8418625832,176.328047029,5565176.8681,1688.63172531,5565176.8681
17,170.629221584,10.5603277842,170.629221584,12781477.125,2952.15750122,12781477.125
18,156.842810849,10.1014554342,156.842810849,109700086.0,9885.20117188,109700086.0
19,147.41864179,9.86288410823,147.41864179,22390903.5,4377.59448242,22390903.5
20,143.762450329,9.96212911606,143.762450329,277810288.0,14584.4682617,277810288.0
21,139.973025107,9.59146359762,139.973025107,492087848.0,20597.8022461,492087848.0
22,130.737870618,9.32859433492,130.737870618,406049706.0,17734.9375,406049706.0
23,122.440366806,9.04737625122,122.440366806,818230176.0,27463.0341797,818230176.0
24,129.259850604,9.12791302999,129.259850604,1286916048.0,33345.5566406,1286916048.0
25,116.360881082,8.95153274536,116.360881082,3566420224.0,59002.640625,3566420224.0
26,111.628155692,8.84552574158,111.628155692,6697800904.0,64860.7207031,6697800904.0
27,105.520257015,8.38383108775,105.520257015,2568023264.0,47454.2744141,2568023264.0
28,101.480583158,8.07822589874,101.480583158,8667553664.0,87519.4960938,8667553664.0
29,97.0748154849,8.10876547496,97.0748154849,9236861952.0,95673.5234375,9236861952.0
30,100.108634906,8.11934903463,100.108634906,7698504352.0,66899.9575195,7698504352.0
31,102.765825974,8.34987360636,102.765825974,29135609856.0,170667.03125,29135609856.0
32,102.431001468,8.10430056254,102.431001468,578416613376.0,626548.828125,578416613376.0
33,98.4025283288,8.0307999293,98.4025283288,184370957312.0,348021.023438,184370957312.0
34,100.627365494,8.31867364248,100.627365494,582464164864.0,591077.332031,582464164864.0
35,101.786433722,8.1337846756,101.786433722,122453088256.0,325945.976562,122453088256.0
36,86.9212785463,7.65314706167,86.9212785463,902590967808.0,829764.59375,902590967808.0
37,88.8082185671,7.73031845093,88.8082185671,738351628288.0,766575.40625,738351628288.0
38,97.8389122795,8.03598556519,97.8389122795,1.96231191757e+12,1192432.85938,1.96231191757e+12
39,97.32655013,8.46005153656,97.32655013,1.6654582743e+12,1210468.46875,1.6654582743e+12
40,102.898764497,8.49669494629,102.898764497,7.07344384819e+12,2067817.45312,7.07344384819e+12
41,93.1725768487,8.17234770457,93.1725768487,7.30884367974e+12,2293613.3125,7.30884367974e+12
42,102.325167863,8.57247568766,102.325167863,1.573986304e+13,3611895.8125,1.573986304e+13
43,91.5931786718,7.98868865967,91.5931786718,1.72613902008e+13,3621833.375,1.72613902008e+13
44,90.927194955,7.72293713888,90.927194955,4.31711820186e+12,2066095.3125,4.31711820186e+12
45,96.4122063041,8.29129015605,96.4122063041,1.25794302034e+13,3428447.125,1.25794302034e+13
46,86.2547713772,7.63152421316,86.2547713772,3.78156034294e+13,5560238.25,3.78156034294e+13
47,92.5286560694,8.18872858683,92.5286560694,6.52551289569e+13,6777463.125,6.52551289569e+13
48,90.3305923104,8.10420379639,90.3305923104,1.52509951771e+14,11211970.75,1.52509951771e+14
49,94.5730177984,8.0851088206,94.5730177984,8.28866428928e+13,8091958.125,8.28866428928e+13
50,101.31319748,8.22226829529,101.31319748,1.81573464883e+14,12645584.75,1.81573464883e+14
51,96.034849341,8.3367483139,96.034849341,6.57869724713e+13,7981325.25,6.57869724713e+13
52,92.774122466,7.93016961416,92.774122466,1.57258394632e+14,12405983.5,1.57258394632e+14
53,98.1514199302,8.38629455566,98.1514199302,4.67491692216e+13,6786580.5,4.67491692216e+13
54,92.5673080186,7.87035420736,92.5673080186,2.65240033886e+14,15648104.0,2.65240033886e+14
55,83.3472989644,7.46605701447,83.3472989644,1.55148118655e+14,11808926.75,1.55148118655e+14
56,96.9320764025,8.13288675944,96.9320764025,3.09489740808e+14,14337199.375,3.09489740808e+14
57,104.09982516,8.49700902303,104.09982516,3.54910216389e+14,13965361.6875,3.54910216389e+14
58,90.2953738213,8.21506258647,90.2953738213,2.44203147756e+14,11953862.5625,2.44203147756e+14
