epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,305.567246392,14.7798727192,305.567246392,1341.98193359,36.6292648315,1341.98193359
1,297.775897508,14.5172386356,297.775897508,973.765289307,31.1342382431,973.765289307
2,290.735212873,14.2559256889,290.735212873,977.542144775,31.1177501678,977.542144775
3,281.473558801,13.9259052128,281.473558801,650.634643555,25.4957799911,650.634643555
4,270.606252657,13.6199297383,270.606252657,769.482391357,27.7381381989,769.482391357
5,261.965264619,13.3057795539,261.965264619,855.638092041,29.2365016937,855.638092041
6,252.440561824,13.0136041045,252.440561824,928.26940918,30.0264930725,928.26940918
7,243.55758799,12.7339203358,243.55758799,888.124526978,28.7333402634,888.124526978
8,231.129397992,12.3980376571,231.129397992,828.506195068,27.5773487091,828.506195068
9,218.19690632,12.0786150545,218.19690632,931.602462769,29.4328460693,931.602462769
10,210.596082408,11.9307405651,210.596082408,1431.8236084,36.4136724472,1431.8236084
11,198.064854741,11.3178038746,198.064854741,1627.53109741,37.7952852249,1627.53109741
12,186.515988827,11.0304280818,186.515988827,1578.01876831,34.2510619164,1578.01876831
13,181.259602077,10.8499271274,181.259602077,768.35729599,23.5868186951,768.35729599
