epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,304.922075069,14.7368310168,304.922075069,391.010879517,19.7696638107,391.010879517
1,294.421890793,14.3938990124,294.421890793,519.976333618,22.7954216003,519.976333618
2,283.433287977,14.0290890783,283.433287977,281.934196472,16.769797802,281.934196472
3,271.077918826,13.636724636,271.077918826,518.860870361,22.6118011475,518.860870361
4,258.786719521,13.165376924,258.786719521,643.659057617,24.8184909821,643.659057617
5,244.912993868,12.7740270048,244.912993868,507.850494385,21.7327475548,507.850494385
6,233.31927472,12.4743091166,233.31927472,510.268260956,19.7626829147,510.268260956
7,217.950552724,11.9535889477,217.950552724,772.676166534,22.6776094437,772.676166534
8,205.298919983,11.716142416,205.298919983,1074.26567829,24.111374855,1074.26567829
9,192.780843899,11.2919006646,192.780843899,1557.91497695,28.2617616653,1557.91497695
10,181.5369948,10.9860185385,181.5369948,2205.77019167,34.9191045761,2205.77019167
11,165.693155993,10.3907673955,165.693155993,2903.66753387,44.8251438141,2903.66753387
12,153.521422487,9.96556094289,153.521422487,3068.85119629,52.6381225586,3068.85119629
13,143.298215523,9.56363579631,143.298215523,5811.45477295,68.7928886414,5811.45477295
14,136.643708363,9.45103567839,136.643708363,18934.8647461,122.063640594,18934.8647461
15,126.599483296,8.8841881752,126.599483296,50292.2939453,218.691459656,50292.2939453
16,119.413083043,8.5804245472,119.413083043,136567.508789,335.347473145,136567.508789
17,113.542556633,8.40979927778,113.542556633,312871.84375,541.623794556,312871.84375
18,113.011522401,8.43035632372,113.011522401,613469.8125,755.565765381,613469.8125
19,104.517640319,8.04061275721,104.517640319,941034.03125,945.630126953,941034.03125
20,100.55165263,7.88450402021,100.55165263,2100497.1875,1400.40722656,2100497.1875
21,96.744086904,7.7179505825,96.744086904,3709978.375,1878.81494141,3709978.375
22,97.5558677591,7.8150485754,97.5558677591,6825874.75,2605.17712402,6825874.75
23,94.8985087774,7.69109034538,94.8985087774,12184962.5,3472.49316406,12184962.5
24,97.0582616813,8.00667899847,97.0582616813,26201311.0,4960.81225586,26201311.0
25,94.8642719761,7.73825907707,94.8642719761,49443248.0,6986.89086914,49443248.0
26,86.8025141889,7.52596139908,86.8025141889,79362392.0,8897.14257813,79362392.0
27,93.256790541,7.71360486746,93.256790541,135748596.0,11516.043457,135748596.0
28,88.5491571148,7.47963881493,88.5491571148,250442592.0,15712.9731445,250442592.0
29,91.265568316,7.6833344698,91.265568316,366587552.0,19139.2490234,366587552.0
30,82.7892119577,7.48226088285,82.7892119577,757124736.0,27515.8291016,757124736.0
31,93.8777733251,7.89367902279,93.8777733251,1502096256.0,38701.2304688,1502096256.0
32,89.3928910405,7.78091096878,89.3928910405,2995825536.0,54725.7695313,2995825536.0
