epoch,loss,top_k_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,3.77366549174,0.0757396444678,3.67798316479,0.133136092685
1,3.70613659223,0.142011835674,3.70235824585,0.112426034175
2,3.64072608948,0.180670613547,3.72406709194,0.0621301783249
3,3.58495272001,0.243786981702,3.75132596493,0.0236686384305
4,3.52839841843,0.291124261419,3.78875482082,0.0
5,3.47072359721,0.328205126524,3.82503056526,0.0
6,3.41138542493,0.36015779376,3.8689455986,0.0
7,3.35103888512,0.3743589739,3.91982579231,0.0
8,3.2837430954,0.389743590355,3.98098731041,0.0
9,3.22555975914,0.409072977304,4.05078411102,0.0
10,3.18564949036,0.376725838582,4.13142943382,0.0
11,3.12265054385,0.411045364539,4.22668766975,0.0
12,3.07707355817,0.388560154041,4.32524585724,0.0
13,3.02055258751,0.413017751773,4.42563843727,0.0
14,2.97981584867,0.418934911489,4.53364610672,0.0
15,2.95477898916,0.396844180425,4.64310264587,0.0
16,2.93661367098,0.401577913761,4.75769281387,0.0
17,2.91464093526,0.396844184399,4.87565875053,0.0
18,2.87937002182,0.397633141279,4.98178887367,0.0
19,2.86247328122,0.400788952907,5.09763932228,0.0
20,2.83004644712,0.409467460712,5.20666956902,0.0
21,2.83021151225,0.393293887377,5.29844474792,0.0
22,2.80714276632,0.425246548653,5.39744901657,0.0
23,2.80896401405,0.401183432341,5.49244976044,0.0
24,2.80285123189,0.392504928509,5.58091449738,0.0
25,2.77712235451,0.418934909503,5.67090606689,0.0
26,2.78612772624,0.399211045106,5.74687242508,0.0
27,2.77467486064,0.400788954894,5.82085561752,0.0
28,2.7608042717,0.399211045106,5.89528250694,0.0
29,2.7536535581,0.407495071491,5.97431325912,0.0
30,2.75157815615,0.418934911489,6.03323626518,0.0
31,2.75273914337,0.410256413619,6.09623217583,0.0
32,2.74832139015,0.409861936172,6.13799643517,0.0
33,2.74131595294,0.404339249929,6.19683814049,0.0
34,2.7514802297,0.397633137306,6.24253106117,0.0
35,2.74435825348,0.399605522553,6.28016138077,0.0
36,2.74039532344,0.407889544964,6.32433748245,0.0
37,2.73323656718,0.416962526242,6.37296104431,0.0
38,2.72056360245,0.413412227233,6.41689825058,0.0
39,2.72211572329,0.414595661561,6.46676254272,0.0
40,2.72713225683,0.411439843973,6.4918718338,0.0
41,2.71334528923,0.422879679998,6.53685975075,0.0
42,2.71049353282,0.420512825251,6.58680868149,0.0
43,2.71568072637,0.417751477162,6.60653781891,0.0
44,2.71207542419,0.403155819575,6.63309121132,0.0
45,2.70453087489,0.423274159431,6.65338897705,0.0
46,2.72019500732,0.41262327234,6.66673016548,0.0
47,2.69461007118,0.431558183829,6.70652604103,0.0
48,2.71101498604,0.413412225246,6.75378084183,0.0
49,2.69922537804,0.417357005676,6.79932260513,0.0
50,2.70899475416,0.407495067517,6.83712935448,0.0
51,2.68763125738,0.413017749786,6.87099695206,0.0
52,2.70580280622,0.411045364539,6.8759701252,0.0
53,2.68656889598,0.413806710641,6.91296935081,0.0
54,2.69686671893,0.413017749786,6.93685245514,0.0
55,2.69914841652,0.416173571348,6.96162295341,0.0
56,2.68506763776,0.418540438016,7.0034828186,0.0
57,2.66354517937,0.438264302413,7.03232336044,0.0
58,2.67687849998,0.424457595746,7.05917191505,0.0
59,2.68000864983,0.436291913191,7.08910727501,0.0
60,2.67865951856,0.422485206525,7.11557817459,0.0
61,2.6919374307,0.413017755747,7.12210536003,0.0
62,2.66627702713,0.447337279717,7.15294909477,0.0
63,2.67217623393,0.434319527944,7.1752717495,0.0
64,2.66356361707,0.437475345532,7.19420409203,0.0
65,2.67511943181,0.427218935887,7.22271227837,0.0
66,2.67445904414,0.429585798581,7.25072598457,0.0
67,2.66929707527,0.430769232909,7.25844454765,0.0
68,2.6773944219,0.414990139008,7.28020048141,0.0
69,2.65667611758,0.445759371916,7.3018078804,0.0
70,2.6621307532,0.432741620143,7.33346414566,0.0
71,2.66365772883,0.435897439718,7.35941171646,0.0
72,2.66043869654,0.429585802555,7.37848591805,0.0
73,2.66859847705,0.422879683971,7.37906980515,0.0
74,2.65920859973,0.429191321135,7.4157705307,0.0
75,2.66269672712,0.428402366241,7.42686367035,0.0
76,2.66316202482,0.433530571063,7.43466067314,0.0
77,2.66985133489,0.415779089928,7.46479845047,0.0
78,2.65815162659,0.430769232909,7.47531294823,0.0
79,2.66328253746,0.42642998298,7.47266340256,0.0
80,2.64571652412,0.446153849363,7.49472355843,0.0
81,2.66050772667,0.427218937874,7.49969887733,0.0
82,2.65411316554,0.435502958298,7.4968547821,0.0
83,2.64953022003,0.437475341558,7.5276529789,0.0
84,2.64992367427,0.43353057305,7.52884531021,0.0
85,2.65442918142,0.421301776171,7.55234241486,0.0
86,2.63888020515,0.448126236598,7.57463812828,0.0
87,2.64666306178,0.439053253333,7.60780572891,0.0
88,2.65252698263,0.422879681985,7.61268019676,0.0
89,2.64968481064,0.443786978722,7.63769483566,0.0
90,2.64809581439,0.431163708369,7.65134692192,0.0
91,2.65196917852,0.441814599435,7.65310287476,0.0
92,2.6360552152,0.448915189505,7.66799926758,0.0
93,2.64747519493,0.437475345532,7.68523025513,0.0
94,2.63963149389,0.448126234611,7.70158362389,0.0
95,2.64251753489,0.438658777873,7.7138209343,0.0
96,2.64630503654,0.434319521983,7.73098087311,0.0
97,2.63606829643,0.449704142412,7.75487923622,0.0
98,2.64681224823,0.428796841701,7.76420116425,0.0
99,2.63228669167,0.450493095318,7.80127859116,0.0
100,2.63628652891,0.448520710071,7.82842683792,0.0
101,2.63170860608,0.452465486526,7.84396004677,0.0
102,2.63816515605,0.437475349506,7.84765625,0.0
103,2.63139184316,0.447337281704,7.86313390732,0.0
104,2.62086318334,0.458382650216,7.88701605797,0.0
105,2.62983570099,0.444970413049,7.91943836212,0.0
106,2.6170425415,0.47337278525,7.95899033546,0.0
107,2.61691451073,0.465877717733,7.98339629173,0.0
108,2.62641447385,0.446942800283,7.99586319923,0.0
109,2.62606948217,0.447731755177,8.01827573776,0.0
110,2.62559922536,0.45167653362,8.02996492386,0.0
111,2.61427135468,0.468639055888,8.04132509232,0.0
112,2.61444999377,0.459960552057,8.05292677879,0.0
113,2.62174024582,0.450098621845,8.07937836647,0.0
114,2.62160960833,0.457593691349,8.08763551712,0.0
115,2.62906527519,0.438264302413,8.09849429131,0.0
116,2.61285856565,0.469033533335,8.11263179779,0.0
117,2.62167649269,0.451676527659,8.12729167938,0.0
118,2.62307631175,0.448520710071,8.14708566666,0.0
119,2.6100118955,0.475739645958,8.1478934288,0.0
120,2.61000167529,0.465877715747,8.16428923607,0.0
121,2.61911171277,0.455226822694,8.18735384941,0.0
122,2.6078968207,0.484812629223,8.19860291481,0.0
123,2.61804925601,0.452465486526,8.21073913574,0.0
