epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,253.132697552,13.0763453171,253.132697552,187643.774414,359.548156738,187643.774414
1,139.119424067,9.81525585055,139.119424067,47065.5488281,216.501678467,47065.5488281
2,101.807558008,8.13670301437,101.807558008,19686.3771565,100.385944366,19686.3771565
3,102.864048542,8.52313315868,102.864048542,22121.5332031,143.045196533,22121.5332031
4,97.7991806101,7.89923357964,97.7991806101,66894.2890625,258.046218872,66894.2890625
5,100.62079762,8.25194597244,100.62079762,58416.8673096,196.120185852,58416.8673096
6,85.2554694824,7.71502906084,85.2554694824,935.406829834,28.5045061111,935.406829834
7,89.8565218449,8.0576531291,89.8565218449,1066.58351135,31.0736227036,1066.58351135
8,94.3119587824,8.53436213732,94.3119587824,16096.0693359,124.091964722,16096.0693359
9,94.3228337392,8.31630343199,94.3228337392,3025.22302246,53.7667331696,3025.22302246
10,93.6089985669,7.95502191782,93.6089985669,7615.33065796,75.0463371277,7615.33065796
11,83.1773837842,7.64304959774,83.1773837842,11690.9992676,105.940292358,11690.9992676
12,87.6342998743,8.03898048401,87.6342998743,27683.4160156,165.267433167,27683.4160156
13,105.269423072,8.68651002645,105.269423072,39087.2314453,181.804649353,39087.2314453
14,104.533752989,8.56962811947,104.533752989,96572.4570313,304.893707275,96572.4570313
15,95.1565231858,8.12578296661,95.1565231858,189834.296875,434.45791626,189834.296875
16,103.25542468,8.38521164656,103.25542468,124680.175781,353.059463501,124680.175781
17,95.7210214306,8.29301649332,95.7210214306,178316.341797,343.345466614,178316.341797
18,95.2666726718,7.89708667994,95.2666726718,626296.8125,766.28604126,626296.8125
19,112.411111523,9.02346682549,112.411111523,1976375.63281,1173.15061951,1976375.63281
20,97.3739738655,8.04130721092,97.3739738655,4662933.3125,1989.13891602,4662933.3125
21,101.751539838,8.68396896124,101.751539838,1646601.64844,1072.35482788,1646601.64844
22,87.2738741385,7.87068843842,87.2738741385,8544936.8125,2151.2853775,8544936.8125
23,95.6285078751,8.03312903643,95.6285078751,31148000.0,5573.03295898,31148000.0
24,87.2251372598,7.84822016954,87.2251372598,68788878.0,8082.28417969,68788878.0
25,91.5039062928,8.35473632813,91.5039062928,236513464.0,15376.159668,236513464.0
26,94.5720173307,7.98377120495,94.5720173307,174696166.0,12134.3398438,174696166.0
27,85.2483823467,7.9421376586,85.2483823467,703321264.0,23684.4946289,703321264.0
28,93.6291255057,8.62543320656,93.6291255057,1610919584.0,39300.7695313,1610919584.0
29,100.234119949,8.65906250477,100.234119949,5341753600.0,73086.9804688,5341753600.0
30,99.1350907236,8.25744646788,99.1350907236,5683371776.0,75380.5859375,5683371776.0
31,98.3509412448,8.52441483736,98.3509412448,4774774016.0,68891.6542969,4774774016.0
32,91.1122998955,8.00438094139,91.1122998955,7986492992.0,81234.3535156,7986492992.0
33,109.904816592,8.93067204952,109.904816592,17197555712.0,130175.753906,17197555712.0
34,99.0659317891,8.29863715172,99.0659317891,28392963072.0,168183.390625,28392963072.0
35,93.66097573,8.03384155035,93.66097573,42182651904.0,202280.9375,42182651904.0
36,102.068459257,8.35502815247,102.068459257,91472400384.0,302431.359375,91472400384.0
