epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,306.908606265,14.8121088296,306.908606265,377.882547379,16.5987854004,377.882547379
1,300.008166175,14.5877544135,300.008166175,398.030830383,19.3298668861,398.030830383
2,293.689435515,14.3657717369,293.689435515,701.313160777,19.2589626312,701.313160777
3,286.441078967,14.1311160736,286.441078967,343.493671417,17.3739390373,343.493671417
4,279.916001317,13.8844940737,279.916001317,531.993354797,21.9038114548,531.993354797
5,270.223492406,13.5872554109,270.223492406,223.021987915,14.6228618622,223.021987915
6,263.861513563,13.3720329851,263.861513563,180.731170654,12.4370069504,180.731170654
7,255.563203827,13.1123138964,255.563203827,442.694297791,20.4881029129,442.694297791
8,248.495070351,12.8312524408,248.495070351,1176.9987793,34.2347011566,1176.9987793
9,238.922228992,12.5955440402,238.922228992,3095.17590332,55.6342811584,3095.17590332
10,229.884521224,12.3673207909,229.884521224,11488.4615784,89.1757125854,11488.4615784
11,218.381930246,12.0142792165,218.381930246,6030.29814148,59.2576179504,6030.29814148
12,212.806798005,11.7921490371,212.806798005,4467.46917725,62.0017528534,4467.46917725
13,202.356540136,11.5474484265,202.356540136,14037.7697754,114.389945984,14037.7697754
14,196.372246876,11.3159767091,196.372246876,14876.1173325,89.1418275833,14876.1173325
15,182.789488539,10.9792626798,182.789488539,48835.9360962,168.805818558,48835.9360962
16,171.43644987,10.6012803912,171.43644987,94878.7669744,219.506408691,94878.7669744
17,167.07350339,10.4162710011,167.07350339,309581.737305,452.842041016,309581.737305
18,160.649918683,10.2472121119,160.649918683,700056.228516,685.996406555,700056.228516
19,155.844639914,9.97538861632,155.844639914,1579200.39258,979.768127441,1579200.39258
20,151.507246505,9.79026272893,151.507246505,5478011.75,2316.22021484,5478011.75
21,143.817244471,9.48827376962,143.817244471,10284142.75,3190.1159668,10284142.75
22,138.215602912,9.30692565441,138.215602912,17894445.0,3980.53759766,17894445.0
23,137.588297606,9.40622258186,137.588297606,26313401.5,4488.83959961,26313401.5
24,131.894668434,9.29544097185,131.894668434,41141848.375,5334.06091309,41141848.375
25,131.339269951,8.90338486433,131.339269951,67147254.25,6732.68615723,67147254.25
26,114.906338476,8.50493484735,114.906338476,145065623.0,9670.95849609,145065623.0
27,113.423316479,8.59955006838,113.423316479,395759016.0,18229.6987305,395759016.0
28,110.527513288,8.57414114475,110.527513288,790383376.0,24577.2568359,790383376.0
29,112.474388456,8.32935613394,112.474388456,1330194696.0,31526.4882813,1330194696.0
30,93.6422182098,7.81516200304,93.6422182098,2195873328.0,42070.8125,2195873328.0
31,105.842786792,8.14319908619,105.842786792,4166981584.0,55629.3720703,4166981584.0
32,101.311420906,7.69234526157,101.311420906,6974147664.0,64975.7905273,6974147664.0
33,94.0760127791,7.74993634224,94.0760127791,11818305664.0,93041.5507813,11818305664.0
34,105.456985159,7.97753685713,105.456985159,21142549120.0,125638.048828,21142549120.0
35,91.5886881201,7.47557371855,91.5886881201,28776317888.0,140424.664063,28776317888.0
36,91.1833010539,7.60051244497,91.1833010539,50276239872.0,192768.011719,50276239872.0
